# /storage/gpfs_data/auger/fabiocon/2022oct/cal_m21_015487_2022-10-23.01-53.root
#eventId pulseBegin pulseEnd pulseLength type
572 250 350 100 0
573 277 329 52 -1
574 277 329 52 -1
575 280 332 52 -1
576 275 327 52 -1
577 273 325 52 -1
578 278 330 52 -1
579 280 332 52 -1
580 277 329 52 -1
581 280 332 52 -1
582 272 324 52 -1
583 276 328 52 -1
584 275 327 52 -1
585 273 325 52 -1
586 279 331 52 -1
587 274 326 52 -1
588 278 330 52 -1
589 273 325 52 -1
590 272 324 52 -1
591 277 329 52 -1
592 278 330 52 -1
593 273 325 52 -1
594 279 330 51 -1
595 281 332 51 -1
596 280 332 52 -1
597 273 325 52 -1
598 273 325 52 -1
599 273 325 52 -1
600 276 328 52 -1
601 278 330 52 -1
602 275 327 52 -1
603 280 332 52 -1
604 273 325 52 -1
605 279 330 51 -1
606 279 331 52 -1
607 274 326 52 -1
608 281 333 52 -1
609 276 328 52 -1
610 280 332 52 -1
611 280 332 52 -1
612 250 350 100 0
613 250 350 100 0
614 250 350 100 0
615 277 329 52 -1
616 277 329 52 -1
617 272 324 52 -1
618 281 333 52 -1
619 275 327 52 -1
620 272 324 52 -1
621 271 323 52 -1
622 278 330 52 -1
623 275 327 52 -1
624 278 330 52 -1
625 272 324 52 -1
626 279 331 52 -1
627 272 324 52 -1
628 273 325 52 -1
629 279 331 52 -1
630 280 332 52 -1
631 281 333 52 -1
632 273 325 52 -1
633 276 328 52 -1
634 277 329 52 -1
635 274 326 52 -1
636 275 327 52 -1
637 272 324 52 -1
638 276 328 52 -1
639 280 332 52 -1
640 273 325 52 -1
641 274 326 52 -1
642 279 331 52 -1
643 281 333 52 -1
644 276 328 52 -1
645 279 331 52 -1
646 274 326 52 -1
647 276 328 52 -1
648 280 332 52 -1
649 272 324 52 -1
650 279 331 52 -1
651 275 327 52 -1
652 275 327 52 -1
653 277 329 52 -1
654 274 326 52 -1
655 250 350 100 0
656 250 350 100 0
657 277 329 52 -1
658 272 324 52 -1
659 272 324 52 -1
660 280 332 52 -1
661 278 330 52 -1
662 281 333 52 -1
663 274 326 52 -1
664 278 330 52 -1
665 276 328 52 -1
666 280 332 52 -1
667 278 330 52 -1
668 275 327 52 -1
669 272 324 52 -1
670 273 325 52 -1
671 277 329 52 -1
672 276 328 52 -1
673 274 326 52 -1
674 281 333 52 -1
675 281 333 52 -1
676 277 329 52 -1
677 280 332 52 -1
678 271 323 52 -1
679 273 325 52 -1
680 279 331 52 -1
681 281 333 52 -1
682 278 330 52 -1
683 281 333 52 -1
684 281 333 52 -1
685 271 323 52 -1
686 273 325 52 -1
687 280 332 52 -1
688 279 331 52 -1
689 272 324 52 -1
690 275 327 52 -1
691 279 331 52 -1
692 277 328 51 -1
693 279 331 52 -1
694 274 326 52 -1
695 275 327 52 -1
696 272 324 52 -1
697 274 326 52 -1
698 250 350 100 0
699 250 350 100 0
700 276 328 52 -1
701 279 331 52 -1
702 279 331 52 -1
703 278 330 52 -1
704 273 325 52 -1
705 275 327 52 -1
706 278 330 52 -1
707 274 326 52 -1
708 278 330 52 -1
709 277 329 52 -1
710 277 328 51 -1
711 279 331 52 -1
712 274 326 52 -1
713 279 331 52 -1
714 278 330 52 -1
715 278 330 52 -1
716 277 329 52 -1
717 279 331 52 -1
718 277 329 52 -1
719 273 325 52 -1
720 278 330 52 -1
721 275 327 52 -1
722 280 332 52 -1
723 273 325 52 -1
724 274 326 52 -1
725 275 327 52 -1
726 273 325 52 -1
727 279 331 52 -1
728 273 325 52 -1
729 277 329 52 -1
730 281 333 52 -1
731 276 328 52 -1
732 272 324 52 -1
733 275 327 52 -1
734 280 332 52 -1
735 273 325 52 -1
736 273 325 52 -1
737 280 332 52 -1
738 274 326 52 -1
739 275 327 52 -1
740 250 350 100 0
741 250 350 100 0
742 277 329 52 -1
743 275 327 52 -1
744 273 325 52 -1
745 279 331 52 -1
746 273 325 52 -1
747 276 328 52 -1
748 272 324 52 -1
749 280 332 52 -1
750 276 328 52 -1
751 276 328 52 -1
752 276 328 52 -1
753 280 332 52 -1
754 279 331 52 -1
755 274 326 52 -1
756 278 330 52 -1
757 278 330 52 -1
758 278 330 52 -1
759 273 325 52 -1
760 280 332 52 -1
761 280 332 52 -1
762 281 333 52 -1
763 280 332 52 -1
764 273 325 52 -1
765 272 324 52 -1
766 271 323 52 -1
767 280 332 52 -1
768 272 324 52 -1
769 281 333 52 -1
770 275 327 52 -1
771 276 328 52 -1
772 274 326 52 -1
773 274 326 52 -1
774 277 329 52 -1
775 277 329 52 -1
776 273 325 52 -1
777 281 333 52 -1
778 280 331 51 -1
779 273 325 52 -1
780 273 325 52 -1
781 275 327 52 -1
782 275 327 52 -1
783 250 350 100 0
784 278 330 52 -1
785 278 330 52 -1
786 271 323 52 -1
787 273 325 52 -1
788 277 329 52 -1
789 281 333 52 -1
790 281 333 52 -1
791 275 327 52 -1
792 272 324 52 -1
793 273 325 52 -1
794 274 326 52 -1
795 277 329 52 -1
796 277 329 52 -1
797 279 331 52 -1
798 278 330 52 -1
799 273 325 52 -1
800 271 323 52 -1
801 278 330 52 -1
802 275 327 52 -1
803 281 333 52 -1
804 274 326 52 -1
805 278 330 52 -1
806 274 326 52 -1
807 279 331 52 -1
808 281 333 52 -1
809 276 328 52 -1
810 277 329 52 -1
811 272 324 52 -1
812 279 331 52 -1
813 275 327 52 -1
814 276 328 52 -1
815 275 327 52 -1
816 277 329 52 -1
817 280 332 52 -1
818 274 326 52 -1
819 280 332 52 -1
820 280 332 52 -1
821 277 329 52 -1
822 275 327 52 -1
823 272 324 52 -1
824 279 331 52 -1
825 274 325 51 -1
826 250 350 100 0
827 279 331 52 -1
828 278 329 51 -1
829 275 327 52 -1
830 280 331 51 -1
831 279 331 52 -1
832 273 325 52 -1
833 281 333 52 -1
834 279 331 52 -1
835 273 325 52 -1
836 271 323 52 -1
837 279 331 52 -1
838 275 327 52 -1
839 273 325 52 -1
840 279 331 52 -1
841 277 329 52 -1
842 276 328 52 -1
843 275 327 52 -1
844 278 330 52 -1
845 278 330 52 -1
846 272 323 51 -1
847 275 327 52 -1
848 274 326 52 -1
849 280 332 52 -1
850 276 328 52 -1
851 279 331 52 -1
852 278 330 52 -1
853 278 330 52 -1
854 273 325 52 -1
855 276 328 52 -1
856 276 328 52 -1
857 276 328 52 -1
858 274 326 52 -1
859 274 326 52 -1
860 278 330 52 -1
861 278 330 52 -1
862 280 332 52 -1
863 279 331 52 -1
864 272 324 52 -1
865 279 331 52 -1
866 274 325 51 -1
867 274 326 52 -1
868 250 350 100 0
869 279 331 52 -1
870 276 328 52 -1
871 280 332 52 -1
872 276 328 52 -1
873 276 328 52 -1
874 279 331 52 -1
875 274 326 52 -1
876 274 326 52 -1
877 280 332 52 -1
878 279 331 52 -1
879 274 326 52 -1
880 272 324 52 -1
881 275 327 52 -1
882 281 333 52 -1
883 275 327 52 -1
884 271 323 52 -1
885 279 331 52 -1
886 278 330 52 -1
887 276 328 52 -1
888 278 330 52 -1
889 279 331 52 -1
890 275 327 52 -1
891 275 327 52 -1
892 274 326 52 -1
893 272 323 51 -1
894 273 325 52 -1
895 277 329 52 -1
896 279 331 52 -1
897 281 333 52 -1
898 276 328 52 -1
899 273 325 52 -1
900 277 329 52 -1
901 279 331 52 -1
902 277 329 52 -1
903 277 329 52 -1
904 280 332 52 -1
905 272 324 52 -1
906 278 330 52 -1
907 277 329 52 -1
908 279 331 52 -1
909 279 331 52 -1
910 276 328 52 -1
911 250 350 100 0
912 273 325 52 -1
913 280 332 52 -1
914 279 331 52 -1
915 272 324 52 -1
916 276 328 52 -1
917 281 333 52 -1
918 279 331 52 -1
919 274 326 52 -1
920 281 333 52 -1
921 272 324 52 -1
922 278 330 52 -1
923 277 329 52 -1
924 275 327 52 -1
925 278 330 52 -1
926 280 332 52 -1
927 280 332 52 -1
928 272 324 52 -1
929 280 332 52 -1
930 277 329 52 -1
931 273 325 52 -1
932 275 327 52 -1
933 276 328 52 -1
934 280 332 52 -1
935 274 326 52 -1
936 272 324 52 -1
937 279 331 52 -1
938 279 331 52 -1
939 280 332 52 -1
940 280 332 52 -1
941 273 325 52 -1
942 277 329 52 -1
943 280 332 52 -1
944 274 326 52 -1
945 276 328 52 -1
946 277 329 52 -1
947 274 326 52 -1
948 272 324 52 -1
949 271 323 52 -1
950 274 326 52 -1
951 276 328 52 -1
952 279 331 52 -1
953 250 350 100 0
954 250 350 100 0
955 276 328 52 -1
956 276 328 52 -1
957 273 325 52 -1
958 272 324 52 -1
959 279 331 52 -1
960 275 327 52 -1
961 276 328 52 -1
962 276 328 52 -1
963 276 328 52 -1
964 275 327 52 -1
965 274 326 52 -1
966 275 326 51 -1
967 271 323 52 -1
968 274 326 52 -1
969 279 331 52 -1
970 279 331 52 -1
971 279 331 52 -1
972 277 329 52 -1
973 278 330 52 -1
974 278 330 52 -1
975 277 329 52 -1
976 277 329 52 -1
977 278 330 52 -1
978 272 324 52 -1
979 274 326 52 -1
980 279 331 52 -1
981 273 325 52 -1
982 272 324 52 -1
983 275 327 52 -1
984 275 326 51 -1
985 272 324 52 -1
986 275 327 52 -1
987 278 330 52 -1
988 272 324 52 -1
989 280 332 52 -1
990 274 326 52 -1
991 276 328 52 -1
992 274 326 52 -1
993 272 324 52 -1
994 279 331 52 -1
995 250 350 100 0
996 250 350 100 0
997 280 331 51 -1
998 272 324 52 -1
999 274 326 52 -1
1000 281 333 52 -1
1001 272 324 52 -1
1002 276 327 51 -1
1003 281 333 52 -1
1004 281 333 52 -1
1005 279 331 52 -1
1006 272 324 52 -1
1007 273 325 52 -1
1008 277 329 52 -1
1009 276 328 52 -1
